,Date,VCB_Close,VIC_Close,VHM_Close,BID_Close,TCB_Close,CTG_Close,HPG_Close,VPB_Close,FPT_Close,MBB_Close
142,20190801,34.7032,110.5916,65.8924,19.5609,10.0374,13.612,7.7932,6.0378,17.3161,8.5217
143,20190802,34.0996,108.9025,65.674,19.754,9.9647,13.5786,7.7415,6.2173,17.4773,8.5023
144,20190805,33.3668,104.902,62.0335,19.754,9.892,13.5786,7.638,6.1847,17.5489,8.4442
145,20190806,32.8926,106.5022,60.7957,19.423,9.8192,13.4785,7.5001,6.1357,17.531,8.2699
146,20190807,33.7979,104.902,61.1598,19.1471,9.7465,13.4785,7.6208,6.1194,17.8175,8.2505
147,20190808,33.841,108.458,62.2648,19.1471,9.795,13.6453,8.0346,6.1031,18.0145,8.3667
148,20190809,33.841,106.8578,61.8964,19.1471,9.795,13.6787,7.9656,6.201,18.301,8.3086
149,20190812,33.4961,106.68,62.0437,19.5057,9.8192,13.5786,8.138,6.201,18.7308,8.4829
150,20190813,32.8926,104.9909,61.0858,19.2574,10.0132,13.7454,8.0863,6.2336,18.8024,8.5991
151,20190814,32.8926,105.4354,61.1595,19.3678,10.1102,13.6787,8.0863,6.2826,19.0531,8.6379
152,20190815,34.0565,107.569,61.8964,19.3678,10.1829,13.612,8.0173,6.2989,19.3452,8.6379
153,20190816,33.5823,108.458,61.5279,19.8644,10.6193,13.6787,7.9484,6.3479,18.9802,8.6766
154,20190819,33.1081,108.3691,62.0437,20.2506,10.4496,13.6787,7.9484,6.3479,19.1262,8.541
155,20190820,33.1512,107.569,63.8859,20.3058,10.4496,13.7454,7.8966,6.3642,19.7102,8.5798
156,20190821,34.4876,108.8136,64.328,20.8852,10.4981,13.8455,8.0001,6.4458,19.5642,8.7153
157,20190822,34.4876,112.1029,64.7701,20.7472,10.4981,13.7454,7.9484,6.4621,19.3452,8.7347
158,20190823,34.1427,111.125,64.1069,20.7197,10.4981,13.6787,8.069,6.4621,19.8562,8.7734
159,20190826,33.5392,110.9472,63.2964,20.8852,10.3041,13.5453,7.8621,6.56,19.6007,9.0252
160,20190827,32.9788,108.9025,63.8122,20.6921,10.4011,13.5453,7.7242,6.6579,19.2722,9.0252
161,20190828,33.1943,108.458,63.9596,20.7472,10.3769,13.5119,7.6725,6.6253,19.0167,9.0446
162,20190829,33.1081,108.9025,63.9596,20.9128,10.3526,13.4785,7.638,6.6579,19.2357,9.0446
163,20190830,33.4961,109.7915,64.6964,21.3818,10.4254,13.4785,7.6552,6.6253,19.3817,8.9477
164,20190903,33.5392,109.347,64.5491,21.3542,10.3769,13.3117,7.4656,6.6253,19.6007,8.8315
165,20190904,33.3237,108.8136,65.5807,21.299,10.5223,13.3451,7.4483,6.4621,19.4182,8.909
166,20190905,33.453,108.458,65.5807,21.2439,10.7648,13.3117,7.4828,6.609,19.1992,8.7541
167,20190906,33.3237,107.6579,65.4333,20.968,10.7648,13.2784,7.3794,6.6416,19.3087,8.7541
168,20190909,33.2805,108.9914,65.1386,21.0231,10.5223,13.3117,7.3104,6.5763,19.6372,8.7541
169,20190910,33.4961,108.458,64.8438,21.1335,10.4011,13.1783,7.3449,6.56,19.7102,8.7347
170,20190911,33.7116,108.0135,63.5911,21.0783,10.5466,13.2116,7.6035,6.56,19.7467,8.7734
171,20190912,34.2721,108.0135,64.0333,21.3266,10.6436,13.4452,7.7759,6.6905,20.6227,8.9477
172,20190913,35.3067,108.8136,64.8438,21.9888,10.983,13.9122,7.7932,6.7558,20.7322,9.0252
173,20190916,34.9187,109.1692,65.2122,22.0715,10.9587,13.8455,7.8104,6.7558,21.0607,9.0639
174,20190917,34.9618,109.1692,66.5386,22.6233,10.9587,13.8455,7.8277,6.7232,21.0242,9.0252
175,20190918,34.7463,108.6358,66.6123,22.7061,10.9587,13.8789,7.9311,6.8864,20.5862,8.4636
176,20190919,35.1343,108.0135,66.5386,22.513,11.1285,14.1792,7.9139,7.0006,21.0972,8.5217
177,20190920,34.9187,106.1466,66.0228,22.0715,11.2254,14.0791,7.8104,6.9843,21.2432,8.541
178,20190923,34.0565,105.791,65.9491,21.8784,10.983,14.0123,7.5863,6.9843,20.6227,8.541
179,20190924,34.7463,106.7689,65.9491,21.7681,10.9587,13.8455,7.638,6.968,20.5132,8.5798
180,20190925,34.7894,106.4133,65.9491,22.0164,10.983,13.8789,7.5518,6.9843,20.9512,8.5798
181,20190926,34.9187,105.791,65.3596,22.1543,11.2012,14.1124,7.6725,7.0659,21.0607,8.7541
182,20190927,35.7378,106.5022,65.8017,22.2095,11.2497,14.1124,7.638,7.2291,21.3527,8.7928
183,20190930,35.3929,106.5022,65.8017,21.7405,11.3224,14.1124,7.569,7.1964,21.0607,8.8315
184,20191001,35.9533,106.5911,65.728,22.0715,11.5164,14.2125,7.5518,7.2943,21.3527,8.9284
185,20191002,35.3498,104.902,65.5807,22.1819,11.5164,14.0123,7.5001,7.3759,20.8782,8.909
186,20191003,35.3498,104.902,65.8017,22.7613,11.5406,14.0123,7.4311,7.3759,20.8782,8.8896
187,20191004,35.7809,104.902,65.728,22.3474,11.4436,13.7454,7.3621,7.278,20.7322,8.7734
188,20191007,35.6947,104.013,65.5807,22.2923,11.2254,13.7121,7.3449,7.0985,20.2577,8.6766
189,20191008,36.6862,104.1019,65.2859,22.6785,11.4194,13.8455,7.5518,7.1801,20.4767,8.7928
190,20191009,36.4275,104.013,65.2122,22.7613,11.4679,14.2125,7.5518,7.2127,20.5862,8.8703
191,20191010,36.4706,103.9241,65.2122,22.6233,11.4679,14.1124,7.4139,7.2454,20.5862,8.8122
192,20191011,36.7724,104.902,65.1386,22.513,11.4436,14.1124,7.4139,7.2127,20.6227,8.8122
193,20191014,36.6431,104.902,64.7701,22.7061,11.5891,14.4794,7.3966,7.278,21.0607,9.0833
194,20191015,36.7293,105.2576,63.6648,22.844,11.7588,14.4794,7.3621,7.3596,20.9512,9.0446
195,20191016,37.1173,104.902,63.6648,22.7061,11.8558,14.6129,7.3449,7.3596,20.9877,9.0252
196,20191017,36.7293,104.013,63.7385,22.513,11.8316,14.6129,7.3794,7.3433,20.6957,8.9865
197,20191018,36.6431,104.013,64.1069,22.1267,11.8316,14.4127,7.3794,7.3106,20.8417,8.909
198,20191021,36.2982,103.9241,63.7385,21.6853,11.5891,14.1792,7.3104,7.1801,20.6227,8.7734
199,20191022,36.8155,103.8352,63.3701,22.0715,11.6376,14.4127,7.4483,7.1475,20.5497,8.8509
200,20191023,36.7724,104.1019,63.2964,22.1267,11.6134,14.3126,7.5346,7.2291,20.5862,8.8703
201,20191024,37.4622,104.1908,63.4438,22.2371,11.5649,14.346,7.5863,7.1148,21.2432,8.8896
202,20191025,37.9364,104.1908,63.3701,22.1819,11.5649,14.6796,7.5173,7.1801,21.1702,8.9865
203,20191028,37.6777,104.6353,63.3701,22.4026,11.5406,14.6796,7.6552,7.1964,21.2067,8.909
204,20191029,37.2466,104.7242,64.5491,22.4026,11.4921,14.713,7.6552,7.1475,21.1337,8.8509
205,20191030,37.8502,106.3244,65.4333,22.1819,11.5406,14.7797,7.5863,7.1148,21.0972,8.9284
206,20191031,37.807,105.791,65.5807,22.4026,11.4921,14.6796,7.5173,7.0169,21.1337,8.909
207,20191101,38.2812,108.9025,70.1492,22.6233,11.5164,14.8798,7.5518,7.0169,21.3527,8.8896
208,20191104,39.6608,108.1913,70.7387,23.2855,11.8073,14.9799,7.5001,7.1801,21.8637,9.0252
209,20191105,39.1434,108.0135,72.1387,23.451,12.0013,14.9465,7.5518,7.2617,21.8272,9.0058
210,20191106,39.2297,108.3691,73.244,23.2855,12.0013,14.8798,7.5863,7.2291,21.7177,9.122
211,20191107,39.359,107.3912,73.3177,23.7427,12.0255,14.8464,7.8277,7.1801,21.7177,9.1027
212,20191108,39.4452,107.1245,72.5809,23.5714,12.171,14.8798,7.8277,7.2291,21.7542,9.0639
213,20191111,39.359,105.7021,72.7282,23.5714,12.1952,14.6462,7.8621,7.1475,21.9002,9.0833
214,20191112,39.5314,106.1466,72.065,24.028,12.1952,14.6796,7.9311,7.0659,22.2652,9.0252
215,20191113,39.0141,105.791,71.5492,24.4846,12.0013,14.5795,7.8104,7.0169,22.0827,9.0058
